tree,total_nodes,leaf_nodes,internal_nodes
1,5101,2551,2550
2,5253,2627,2626
3,4987,2494,2493
4,5145,2573,2572
5,5339,2670,2669
6,5165,2583,2582
7,5117,2559,2558
8,5147,2574,2573
9,4845,2423,2422
10,5149,2575,2574
11,5067,2534,2533
12,5067,2534,2533
13,4933,2467,2466
14,5325,2663,2662
15,5203,2602,2601
16,5085,2543,2542
17,5225,2613,2612
18,5231,2616,2615
19,5127,2564,2563
20,5195,2598,2597
21,5067,2534,2533
22,5373,2687,2686
23,5167,2584,2583
24,4953,2477,2476
25,5155,2578,2577
26,5015,2508,2507
27,4945,2473,2472
28,5211,2606,2605
29,4975,2488,2487
30,5077,2539,2538
31,5285,2643,2642
32,4963,2482,2481
33,4989,2495,2494
34,5187,2594,2593
35,5161,2581,2580
36,5117,2559,2558
37,5061,2531,2530
38,5073,2537,2536
39,5217,2609,2608
40,4965,2483,2482
41,5133,2567,2566
42,4955,2478,2477
43,4975,2488,2487
44,5137,2569,2568
45,4931,2466,2465
46,5123,2562,2561
47,5227,2614,2613
48,5157,2579,2578
49,4817,2409,2408
50,5129,2565,2564
51,5051,2526,2525
52,4865,2433,2432
53,5031,2516,2515
54,5213,2607,2606
55,5151,2576,2575
56,5047,2524,2523
57,5153,2577,2576
58,5279,2640,2639
59,5057,2529,2528
60,5157,2579,2578
61,4915,2458,2457
62,5003,2502,2501
63,5033,2517,2516
64,5101,2551,2550
65,4863,2432,2431
66,4983,2492,2491
67,5159,2580,2579
68,5253,2627,2626
69,4899,2450,2449
70,5141,2571,2570
71,5081,2541,2540
72,5021,2511,2510
73,5133,2567,2566
74,5139,2570,2569
75,5143,2572,2571
76,4839,2420,2419
77,5107,2554,2553
78,5031,2516,2515
79,5073,2537,2536
80,5097,2549,2548
81,4995,2498,2497
82,5005,2503,2502
83,4899,2450,2449
84,5189,2595,2594
85,5051,2526,2525
86,5241,2621,2620
87,5101,2551,2550
88,5275,2638,2637
89,4965,2483,2482
90,4947,2474,2473
91,4899,2450,2449
92,5011,2506,2505
93,5015,2508,2507
94,5297,2649,2648
95,4723,2362,2361
96,5141,2571,2570
97,4879,2440,2439
98,4915,2458,2457
99,4947,2474,2473
100,5047,2524,2523
101,5139,2570,2569
102,5117,2559,2558
103,4973,2487,2486
104,4999,2500,2499
105,5133,2567,2566
106,5049,2525,2524
107,4999,2500,2499
108,5077,2539,2538
109,5167,2584,2583
110,4829,2415,2414
111,4993,2497,2496
112,5105,2553,2552
113,5119,2560,2559
114,5169,2585,2584
115,5185,2593,2592
116,5151,2576,2575
117,4795,2398,2397
118,4969,2485,2484
119,5081,2541,2540
120,5209,2605,2604
121,5029,2515,2514
122,4995,2498,2497
123,5031,2516,2515
124,5017,2509,2508
125,5093,2547,2546
126,5007,2504,2503
127,5159,2580,2579
128,4973,2487,2486
129,5147,2574,2573
130,5131,2566,2565
131,5231,2616,2615
132,4825,2413,2412
133,5065,2533,2532
134,5135,2568,2567
135,5109,2555,2554
136,5025,2513,2512
137,5091,2546,2545
138,5289,2645,2644
139,5105,2553,2552
140,4947,2474,2473
141,4999,2500,2499
142,5091,2546,2545
143,5283,2642,2641
144,5079,2540,2539
145,5285,2643,2642
146,5179,2590,2589
147,5261,2631,2630
148,5115,2558,2557
149,5073,2537,2536
150,5095,2548,2547
